region,area,rock,problem,grade
関東,御岳,中州ボルダー,ジャンピングフック,1級
関東,御岳,中州ボルダー,レインボーハング,4級
関東,御岳,デッドエンド,デッドエンド横断,初段
関東,御岳,デッドエンド,勅使河原美加の半生,初段
関東,御岳,デッドエンド,デッドエンド,1級
関東,御岳,no_name,イギリス人のトラヴァース,2級
関東,御岳,丸こんにゃく岩,チョックマン,4級
関東,御岳,丸こんにゃく岩,丸こんにゃく左,1級
関東,御岳,丸こんにゃく岩,丸こんにゃく中央,1級
関東,御岳,丸こんにゃく岩,丸こんにゃく右,1級
関東,御岳,ピンチ・オーバーハング,ファット・アタッカー,初段
関東,御岳,ピンチ・オーバーハング,ファット・ブロッカー,初段
関東,御岳,ピンチ・オーバーハング,ピンチ・オーバーハング,初段
関東,御岳,とけたソフトクリーム,キックマントル,3級
関東,御岳,とけたソフトクリーム,水際カンテ,二段
関東,御岳,オーストラリア岩,モンキーカンテ,4級
関東,御岳,オーストラリア岩,モンキーポッケ,初段
関東,御岳,オーストラリア岩,すべり台,6級
関東,御岳,オーストラリア岩,私の家,二段
北海道,旭川,,,
北海道,赤岩青巌峡,,,
北海道,ニニウ,,,
北海道,有珠,,,
北海道,アヨロ,,,
東北,階上,,,
東北,侍浜,,,
東北,金華山,,,
東北,大倉,,,
東北,新川,,,
東北,霊山,,,
関東,塩原,,,
関東,笠間,,,
関東,下仁田,,,
関東,三峰,,,
関東,中津川,,,
関東,聖人,,,
関東,河又,,,
関東,奥日原,,,
関東,大沢,,,
関東,鳩ノ巣,,,
関東,裏御岳,,,
関東,神戸,,,
関東,天皇岩,,,
関東,幕岩,,,
甲信,小川山,,,
甲信,瑞牆山,,,
甲信,遠山川,,,
